n,word,ipa,pos,gloss,etym
1,a,/a/,叹词,啊。,原生叹词。
2,æ,/æ/,连词,和。,原生功能词。
3,aæku,/aˈækʰu/,动词,淹没。,原生词根。
4,abi,/ˈabi/,名词,渡口。,原生词根。
5,ablør,/ˈabløɹ/,名词,勇士。,原生词根。
6,abo,/ˈa.bo/,连词,但是（口语）。,原生词根（口语连词，与书面语 sed 相对但词源独立）。
7,abolar,/aˈbo.laɹ/,动词,消除，除掉。,源自拉丁语「abolere」
8,abrikot,/aˈbrikʰotʰ/,名词,杏。,源自法语「abricot」。
9,absorber,/aˈbsoɹbəɹ/,动词,吸收。,源自拉丁语「absorbere」。
10,absorberabela,/absoɹbəʁaˈbela/,形容词,可吸收的。,「absorber」+ 后缀 -bela（可被……的）。
11,absorberitá,/absoɹbəˈʁitʰaː/,形容词,被吸收的。,「absorber」+ 后缀 -itá（结果状态）。
12,abundansi,/abuˈndansi/,形容词,丰富的。,源自拉丁语「abundans」。
13,abzeiken,/abzəˈikʰən/,名词,徽章。,源自德语「Abzeichen」。
14,aĉet,/a.ˈtʃetʰ/,动词,购买。,借世界语 aĉeti。
15,aço,/ˈa.so/,名词,革命。,原生词根，模拟社会变革之音。
16,açoen,/ˈa.so.ən/,动词,变成革命。,「açoi」+ 后缀 -en（变成）。
17,açoën,/ˈa.so.ən/,动词,革命，反抗。,"""aço"" + 动词化后缀 ""-en""。"
18,açoënabela,/asoənaˈbela/,形容词,可革命的。,「açoën」+ 后缀 -bela（可被……的）。
19,açoënitá,/asoəˈnitʰaː/,形容词,被革命的。,「açoën」+ 后缀 -itá（结果状态）。
20,açoi,/ˈa.so.i/,形容词,革命的。,"""aço"" + 形容词化后缀 ""-i""。"
21,açoji,/aˈsod͡ʒi/,动词,使革命。,「açoi」+ 后缀 -ji（使动）。
22,açoli,/aˈsoli/,副词,革命地。,「açoi」+ 后缀 -li（副词化）。
23,adiauo,/adiaˈuo/,名词,告别。,源自世界语「adiaʌo」。
24,administoratio,/administʰoʁaˈtʰio/,名词,管理。,源自拉丁语「administratio」。
25,admirer,/ad.miˈʁəɹ/,动词,钦佩，赞叹。,源自拉丁语「admirari」
26,adraka,/aˈdrakʰa/,名词,生姜。,源自梵语「आद्रक」(adraka)。
27,adversa,/adˈveɹsa/,形容词,不利的，逆的。,源自拉丁语「adversus」
28,adversair,/advəˈɹsaiɹ/,名词,对手。,源自法语「adversaire」。
29,advertisemento,/advəɹtʰisəˈmentʰo/,名词,广告。,源自英语「advertisement」。
30,advokatus,/advoˈkʰatʰus/,名词,律师。,源自拉丁语「advocatus」。
31,aemula,/ˈae.mu.la/,形容词,竞争的，争先的。,源自拉丁语「aemulari」
32,aero,/ˈa.e.ʁo/,名词,空气。,源自拉丁语「aer」
33,afer,/ˈa.fəɹ/,名词,事情，事务。,源自拉丁语「res」(res)，词形维古登化。
34,afiestai,/afiəˈstʰai/,动词,赦免。,源自希腊语「ἀφίεσθαι」(aphiesthai)。
35,afkæ,/ˈafkʰæ/,名词,诅咒。,原生词根。
36,æfo,/ˈæfo/,名词,祭坛。,原生词根。
37,aĝer,/ˈad͡ʒəɹ/,名词,农田。,源自拉丁语「ager」。
38,agĝer,/ˈaɡd͡ʒəɹ/,名词,堤坝。,源自拉丁语「agger」。
39,agitar,/aˈɡi.taɹ/,动词,骚动，激动，鼓动。,源自拉丁语「agitare」
40,agó,/aˈɡoː/,动词,聚集，集合。,原生词根。
41,agóabela,/aɡoːaˈbela/,形容词,可聚集的。,「agó」+ 后缀 -bela（可被……的）。
42,agóitá,/aɡoːˈitʰaː/,形容词,被聚集的。,「agó」+ 后缀 -itá（结果状态）。
43,agon,/ˈaɡon/,名词,竞技会。,源自希腊语「ἀγών」(agon)。
44,agoni,/aˈɡoni/,形容词,贫瘠的。,源自希腊语「agonos」。
45,agresto,/aˈɡrestʰo/,名词,醋栗。,源自波兰语「agrest」。
46,agrimento,/aɡriˈmentʰo/,名词,协议。,源自英语「agreement」。
47,ágrún,/ˈaːɡruːn/,名词,林间。,原生词根。
48,aguru,/aˈɡuʁu/,名词,沉香。,源自梵语「अगुरु」(aguru)。
49,ah,/ah/,叹词,啊。,通用叹词。
50,aie,/aˈiə/,名词,镣铐。,原生词根。
51,ail,/ˈail/,名词,大蒜。,源自法语「ail」。
52,ainigma,/aiˈniɡma/,名词,谜。,源自希腊语「αἴνιγμα」(ainigma)。
53,aistetik,/aiˈstʰetʰikʰ/,名词,美学。,源自希腊语「αἰσθητική」(aisthetike)。
54,ait,/ˈaitʰ/,名词,烤肉。,原生词根。
55,aiter,/aˈitʰəɹ/,名词,以太。,源自希腊语「αἰθήρ」(aither)。
56,ajíwiquce,/a.d͡ʒiː.wi.ˈku.ke/,名词,相濡以沫的青梅竹马。,原生词根（新造）。
57,æk,/ˈækʰ/,名词,腰带。,原生词根。
58,akademia,/akʰadəˈmia/,名词,学院。,源自拉丁语「academia」。
59,akcenta,/akˈkʰen.tʰa/,名词,口音，重音，腔调。,源自拉丁语「accentus」
60,akceptar,/akˈkep.tʰaɹ/,动词,接受，接待。,源自拉丁语「acceptare」
61,akon,/ˈakʰon/,名词,标枪。,源自希腊语「akon」。
62,akord,/aˈkʰoɹd/,动词,同意。,"拉丁语 ""accordare""。"
63,akordabela,/akʰoɹdaˈbela/,形容词,可同意的。,「akord」+ 后缀 -bela（可被……的）。
64,akorditá,/akʰoˈɹditʰaː/,形容词,被同意的。,「akord」+ 后缀 -itá（结果状态）。
65,akounto,/akʰoˈuntʰo/,名词,账户。,源自英语「account」。
66,akra,/ˈa.kʰra/,形容词,凛，尖利，刺骨。,"拉丁语 ""acer"" + 形容词化。"
67,akraji,/aˈkʰrad͡ʒi/,动词,使凛。,「akra」+ 后缀 -ji（使动）。
68,akrali,/aˈkʰrali/,副词,凛地。,「akra」+ 后缀 -li（副词化）。
69,akren,/ˈakʰrən/,动词,变成凛。,「akra」+ 后缀 -en（变成）。
70,akseler,/akˈse.ləɹ/,动词,加速，加快。,源自拉丁语「accelerare」
71,aksidento,/akʰsiˈdentʰo/,名词,事故。,源自法语「accident」。
72,akso,/ˈakʰso/,名词,战斧。,源自日耳曼语「axe」。
73,aksup,/ˈakʰsup/,名词,部落。,原生词根。
